superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
beta-amyloid metabolic process	GO:0050435	biological_process	3676534	27630	507984	0		20090716	307	4RAL_A	4RAL_A	PDB	4RAL_A	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3676535	27630	507984	0		20120612	307	4RAL_A	4RAL_A	PDB	4RAL_A	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3676614	27630	507985	0		20160507	68	4RAL_B	4RAL_B	PDB	4RAL_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3676615	27630	507985	0		20090716	307	4RAL_B	4RAL_B	PDB	4RAL_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3676616	27630	507985	0		20120612	307	4RAL_B	4RAL_B	PDB	4RAL_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3678830	27630	508186	0		20160507	68	4RE9_A	4RE9_A	PDB	4RE9_A	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3678831	27630	508186	0		20090716	307	4RE9_A	4RE9_A	PDB	4RE9_A	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3678832	27630	508186	0		20120612	307	4RE9_A	4RE9_A	PDB	4RE9_A	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3678913	27630	508187	0		20160507	68	4RE9_B	4RE9_B	PDB	4RE9_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3678914	27630	508187	0		20090716	307	4RE9_B	4RE9_B	PDB	4RE9_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3678915	27630	508187	0		20120612	307	4RE9_B	4RE9_B	PDB	4RE9_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3931714	18150	536568	0		20160507	68	5A63_B	5A63_B	PDB	5A63_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	3931748	27630	536568	0		20160507	68	5A63_B	5A63_B	PDB	5A63_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4031467	18150	544889	0		20160507	68	5FN2_B	5FN2_B	PDB	5FN2_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4031501	27630	544889	0		20160507	68	5FN2_B	5FN2_B	PDB	5FN2_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4031699	18150	544893	0		20160507	68	5FN3_B	5FN3_B	PDB	5FN3_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4031733	27630	544893	0		20160507	68	5FN3_B	5FN3_B	PDB	5FN3_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4031931	18150	544897	0		20160507	68	5FN4_B	5FN4_B	PDB	5FN4_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4031965	27630	544897	0		20160507	68	5FN4_B	5FN4_B	PDB	5FN4_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4032163	18150	544901	0		20160507	68	5FN5_B	5FN5_B	PDB	5FN5_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	4032197	27630	544901	0		20160507	68	5FN5_B	5FN5_B	PDB	5FN5_B	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	7855787	27630	1197647	0		20160507	68	BECN1	BECN1	UniProtKB	A0A024R1X5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	7858444	27630	1197907	0		20160507	68	BACE1	BACE1	UniProtKB	A0A024R3D7	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	7862475	18150	1198439	0		20160507	68	PSEN1	PSEN1	UniProtKB	A0A024R6A3	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	7862502	27630	1198439	0		20160507	68	PSEN1	PSEN1	UniProtKB	A0A024R6A3	Homo	sapiens	9606	human
