superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
cholesterol transport	GO:0030301	biological_process	208339784	14416	299293	0		20160507	68	VPS4B	VPS4B	UniProtKB	O75351	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1466972	35428	299385	0		20110722	93	LRP6	LRP6	UniProtKB	O75581	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208342148	35428	299385	0		20110722	93	LRP6	LRP6	UniProtKB	O75581	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256398022	35428	299385	0		20110722	93	LRP6	LRP6	UniProtKB	O75581	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1468361	14414	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1468362	17287	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208344453	14414	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208344454	17287	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256399079	14414	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256399080	17287	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1472977	17287	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1472990	22421	299789	0		20090512	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208435903	17287	299789	0		20160507	68	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208435904	17287	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208435924	22421	299789	0		20160507	68	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208435925	22421	299789	0		20090512	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405047	17287	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405059	22421	299789	0		20090512	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473208	9296	299805	0		20160329	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473208	9296	299805	0		20160329	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473217	16338	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473219	17287	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473220	17287	299805	0		20080402	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473221	17287	299805	0		20080103	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473222	17287	299805	0		20140528	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1473238	22421	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436292	9296	299805	0		20160507	68	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436292	9296	299805	0		20160507	68	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436293	9296	299805	0		20160329	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436293	9296	299805	0		20160329	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436306	14416	299805	0		20160507	68	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436309	16338	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436311	17287	299805	0		20160507	121	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436312	17287	299805	0		20160507	68	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436313	17287	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436314	17287	299805	0		20080402	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436315	17287	299805	0		20080103	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436316	17287	299805	0		20140528	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436338	22421	299805	0		20160507	121	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436339	22421	299805	0		20160507	68	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208436340	22421	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405198	9296	299805	0		20160329	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405198	9296	299805	0		20160329	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405207	16338	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405209	17287	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405210	17287	299805	0		20080402	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405211	17287	299805	0		20080103	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405212	17287	299805	0		20140528	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256405225	22421	299805	0		20071114	15	ABCA1	ABCA1	UniProtKB	O95477	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1478163	14414	300043	0		20070108	112	LDLR	LDLR	UniProtKB	P01130	Homo	sapiens	9606	human
